Feature Description,Release Date,,,,,,,,,,,,,,,,
Importing bookmarks from Safari or a Chrome-based browser? The favicons for those bookmarks will now also be imported by default to make them easier to identify.,5/9/2023,,,,,,,,,,,,,,,,
"Firefox 113 now supports AV1 Image Format files containing animations (AVIS), improving support for AVIF images across the web.",5/9/2023,,,,,,,,,,,,,,,,
The Windows GPU sandbox first shipped in the Firefox 110 release has been tightened to enhance the security benefits it provides.,5/9/2023,,,,,,,,,,,,,,,,
A 13-year-old feature request was fulfilled and Firefox now supports files being drag-and-dropped directly from Microsoft Outlook.,5/9/2023,,,,,,,,,,,,,,,,
Users on macOS can now access the Services sub-menu directly from Firefox context menus.,5/9/2023,,,,,,,,,,,,,,,,
"On Windows, the elastic overscroll effect has been enabled by default. When two-finger scrolling on the touchpad or scrolling on the touchscreen, you will now see a bouncing animation when scrolling past the edge of a scroll container.",5/9/2023,,,,,,,,,,,,,,,,
Firefox is now available in the Tajik (tg) language.,5/9/2023,,,,,,,,,,,,,,,,
"The long-deprecated mozRTCPeerConnection, mozRTCIceCandidate, and mozRTCSessionDescription WebRTC interfaces have been removed. Sites should utilize the non-prefixed versions instead.",5/9/2023,,,,,,,,,,,,,,,,
Right-clicking on password fields now shows an option to reveal the password.,4/11/2023,,,,,,,,,,,,,,,,
"Ubuntu Linux users can now import their browser data from the Chromium Snap package. Currently, this will only work if Firefox is not also installed as a Snap package, but work is underway to address this!",4/11/2023,,,,,,,,,,,,,,,,
"Do you use the tab list panel in the tab bar? If so, you can now close tabs by middle-clicking items in that list.",4/11/2023,,,,,,,,,,,,,,,,
"You've always been able to un-close a tab by using (Cmd/Ctrl)-Shift-T. Now, that same shortcut will restore the previous session if there are no more closed tabs from the same session to re-open.",4/11/2023,,,,,,,,,,,,,,,,
"For all ETP Strict users, we extended the list of known tracking parameters that are removed from URLs to further protect our users from cross-site tracking.",4/11/2023,,,,,,,,,,,,,,,,
Enables overlay of software-decoded video on Intel GPUs in Windows. Improves video down scaling quality and reduces GPU usage.,4/11/2023,,,,,,,,,,,,,,,,
Private windows and ETP set to strict will now include email tracking protection. This will make it harder for email trackers to learn the browsing habits of Firefox users. You can check the Tracking Content in the sub-panel on the shield icon panel.,4/11/2023,,,,,,,,,,,,,,,,
The deprecated U2F Javascript API is now disabled by default. The U2F protocol remains usable through the WebAuthn API. The U2F API can be re-enabled using the security.webauth.u2f preference.,4/11/2023,,,,,,,,,,,,,,,,
Windows native notifications are now enabled.,3/14/2023,,,,,,,,,,,,,,,,
Firefox Relay users can now opt-in to create Relay email masks directly from the Firefox credential manager. You must be signed in with your Firefox Account.,3/14/2023,,,,,,,,,,,,,,,,
We’ve added two new locales: Silhe Friulian (fur) and Sardinian (sc).,3/14/2023,,,,,,,,,,,,,,,,
"It's now possible to import bookmarks, history and passwords not only from Edge, Chrome or Safari but also from Opera, Opera GX, and Vivaldi for all the folks who want to move over to Firefox instead!",2/14/2023,,,,,,,,,,,,,,,,
GPU sandboxing has been enabled on Windows. Note: A bug in the popular X-Mouse Button Control (XMBC) tool may cause mouse wheel scrolling to stop working. Affected users should update to the latest version of XMBC (2.20 or higher) which contains a fix for this issue.,2/14/2023,,,,,,,,,,,,,,,,
"On Windows, third-party modules can now be blocked from injecting themselves into Firefox, which can be helpful if they are causing crashes or other undesirable behavior.",2/14/2023,,,,,,,,,,,,,,,,
"Date, time, and datetime-local input fields can now be cleared with Cmd+Backspace and Cmd+Delete shortcut on macOS and Ctrl+Backspace and Ctrl+Delete on Windows and Linux.",2/14/2023,,,,,,,,,,,,,,,,
GPU-accelerated Canvas2D is enabled by default on macOS and Linux.,2/14/2023,,,,,,,,,,,,,,,,
"WebGL performance improvement on Windows, MacOS and Linux.",2/14/2023,,,,,,,,,,,,,,,,
"Enables overlay of hardware-decoded video with non-Intel GPUs on Windows 10/11, improving video playback performance and video scaling quality.",2/14/2023,,,,,,,,,,,,,,,,
"Colorways are no longer available in Firefox, at least not in the same way. You can still access your saved and active Colorways by selecting Add-ons and themes from the Firefox menu. Additionally, you can now install Colorways from all of the previous collections by visiting Colorways by Firefox on the Mozilla Add-ons website.",2/14/2023,,,,,,,,,,,,,,,,
Manifest Version 3 (MV3) extension support is now enabled by default (MV2 remains enabled/supported). This major update also ushers an exciting user interface change in the form of the new extensions button.,1/17/2023,,,,,,,,,,,,,,,,
"The Arbitrary Code Guard exploit protection has been enabled in the media playback utility processes, improving security for Windows users.",1/17/2023,,,,,,,,,,,,,,,,
"The native HTML date picker for date and datetime inputs can now be used with a keyboard alone, improving its accessibility for screen reader users. Users with limited mobility can also now use common keyboard shortcuts to navigate the calendar grid and month selection spinners.",1/17/2023,,,,,,,,,,,,,,,,
Firefox builds in the Spanish from Spain (es-ES) and Spanish from Argentina (es-AR) locales now come with a built-in dictionary for the Firefox spellchecker.,1/17/2023,,,,,,,,,,,,,,,,
"Effective on January 16, Colorways will no longer be in Firefox. Users will still be able to access saved and active Colorways from the Add-ons and themes menu option.",1/17/2023,,,,,,,,,,,,,,,,
"On macOS, Ctrl or Cmd + trackpad or mouse wheel now scrolls the page instead of zooming. This avoids accidental zooming and matches the behavior of other web browsers on macOS.",1/17/2023,,,,,,,,,,,,,,,,
The Recently Closed section of Firefox View now equips users with the ability to manually close/remove url links from the list.,1/17/2023,,,,,,,,,,,,,,,,
The empty state messages and graphic components surfaced in Firefox View for the Tab Pickup and Recently Closed sections have been updated for an improved user experience.,1/17/2023,,,,,,,,,,,,,,,,
"The ""Tabs sharing devices"" menu item for WebRTC is now located in the tools menu on macOS only",1/5/2023,,,,,,,,,,,,,,,,
"Import maps, which allow web pages to control the behavior of JavaScript imports, are now enabled by default.",12/13/2022,,,,,,,,,,,,,,,,
Processes used for background tabs now use efficiency mode on Windows 11 to limit resource use.,12/13/2022,,,,,,,,,,,,,,,,
"The shift+esc keyboard shortcut now opens the Process Manager, offering a way to quickly identify processes that are using too many resources.",12/13/2022,,,,,,,,,,,,,,,,
Improved frame scheduling when under load; this substantially improves Firefox’s MotionMark scores.,12/13/2022,,,,,,,,,,,,,,,,
Firefox now supports the WebMIDI API and a new experimental mechanism for controlling access to dangerous capabilities.,12/13/2022,,,,,,,,,,,,,,,,
Improved the performance of the instance when Microsoft's IME and Defender retrieve the URL of a focused document in Windows 11 version 22H2.,11/15/2022,,,,,,,,,,,,,,,,
"Power profiling — visualizing performance data recorded from web browsers — is now also supported on Linux and Mac with Intel CPUs, in addition to Windows 11 and Apple Silicon.",11/15/2022,,,,,,,,,,,,,,,,
"It is now possible to edit PDFs: including writing text, drawing, and adding signatures.",10/18/2022,,,,,,,,,,,,,,,,
Setting Firefox as your default browser now also makes it the default PDF application on Windows systems.,10/18/2022,,,,,,,,,,,,,,,,
